route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
VLBR-3424,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3477,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3478,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3519,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3520,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3530,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3546,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3549,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3554,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLBR-3556,VLBR,"Varsity Lakes line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,000000
VLDB-3554,VLDB,"Varsity Lakes line - Doomben line",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,A54399,000000
VLDB-3556,VLDB,"Varsity Lakes line - Doomben line",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,A54399,000000
VLIP-3546,VLIP,"Varsity Lakes line - Ipswich line",,2,https://www.translink.com.au,00447C,FFFFFF
VLIP-3549,VLIP,"Varsity Lakes line - Ipswich line",,2,https://www.translink.com.au,00447C,FFFFFF
VLVL-3477,VLVL,"Varsity Lakes line - Varsity Lakes line",,2,https://www.translink.com.au,00447C,FFFFFF
VLVL-3478,VLVL,"Varsity Lakes line - Varsity Lakes line",,2,https://www.translink.com.au,00447C,FFFFFF
