LOC_NAME,LOC_PID,Centroid_X,Centroid_Y,Google_Maps_Link,Suburb Name in Brisbane,Location in Brisbane
Torres Strait,loc83879efdbe69,142.6692539,-9.44097245,"https://www.google.com/maps?q=-9.440972450177703,142.66925390799963",0,
Torres Strait,loc83879efdbe69,142.7229686,-10.26598161,"https://www.google.com/maps?q=-10.265981611368517,142.72296857823858",0,
Torres Strait,loc83879efdbe69,144.1875261,-9.382542943,"https://www.google.com/maps?q=-9.382542943365763,144.1875261455286",0,
Torres Strait,loc83879efdbe69,143.8625437,-9.155902365,"https://www.google.com/maps?q=-9.155902365354661,143.86254369953176",0,
Torres Strait,loc83879efdbe69,142.2595363,-9.556371079,"https://www.google.com/maps?q=-9.55637107890982,142.25953632615236",0,
Torres Strait,loc83879efdbe69,141.5710359,-9.552906803,"https://www.google.com/maps?q=-9.552906803015391,141.57103589367938",0,
Torres Strait,loc83879efdbe69,142.2072012,-9.319402323,"https://www.google.com/maps?q=-9.31940232279751,142.20720119501155",0,
Unnamed Locality,loc12867d67c7d6,152.8467995,-25.2621396,"https://www.google.com/maps?q=-25.262139600451434,152.8467995044654",0,
Unnamed Locality,locd1a7dba9ded0,141.8679,-15.10832918,"https://www.google.com/maps?q=-15.108329177015591,141.86789998243339",0,
Wellesley Islands,loc162ba431d5ad,139.8088204,-16.50229054,"https://www.google.com/maps?q=-16.502290542534148,139.80882042076695",0,
Wellesley Islands,loc162ba431d5ad,139.4567127,-16.68735534,"https://www.google.com/maps?q=-16.687355341662318,139.4567127045927",0,
Wellesley Islands,loc162ba431d5ad,139.2803422,-16.26360015,"https://www.google.com/maps?q=-16.263600152705653,139.28034220097507",0,
Wellesley Islands,loc162ba431d5ad,139.2917515,-16.74857416,"https://www.google.com/maps?q=-16.748574162974784,139.2917515316664",0,
Wellesley Islands,loc162ba431d5ad,139.3806349,-16.64227707,"https://www.google.com/maps?q=-16.642277068914158,139.38063494484254",0,
Wellesley Islands,loc162ba431d5ad,139.8081666,-16.49231152,"https://www.google.com/maps?q=-16.492311521304206,139.80816661674294",0,
Wellesley Islands,loc162ba431d5ad,139.4738912,-16.61086989,"https://www.google.com/maps?q=-16.610869893580794,139.4738912411989",0,
Wellesley Islands,loc162ba431d5ad,139.2750743,-16.26946721,"https://www.google.com/maps?q=-16.269467206204162,139.27507434753116",0,
Wellesley Islands,loc162ba431d5ad,139.7207418,-16.47781115,"https://www.google.com/maps?q=-16.477811146151694,139.72074177984362",0,
